site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+28.2   ,+11.454 ,+1.8782 ,+375.64,+.85855 ,+13.737 ,+19.863 ,+12.743 ,+16.966 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+29.2   ,+11.611 ,+1.8727 ,+374.53,+.87172 ,+13.948 ,+19.886 ,+12.801 ,+16.989 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+30.2   ,+11.597 ,+1.8754 ,+375.09,+.87137 ,+13.942 ,+19.886 ,+12.801 ,+16.972 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+31.2   ,+11.600 ,+1.8671 ,+373.43,+.87241 ,+13.959 ,+19.875 ,+12.808 ,+16.961 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+32.2   ,+11.572 ,+1.8661 ,+373.22,+.87796 ,+14.047 ,+19.888 ,+12.821 ,+16.957 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+33.2   ,+11.468 ,+1.8689 ,+373.77,+.88350 ,+14.136 ,+19.898 ,+12.814 ,+16.967 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+34.2   ,+11.635 ,+1.8647 ,+372.94,+.88488 ,+14.158 ,+19.901 ,+12.799 ,+16.987 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+35.2   ,+11.457 ,+1.8640 ,+372.80,+.88558 ,+14.169 ,+19.901 ,+12.782 ,+16.969 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+36.2   ,+11.657 ,+1.8654 ,+373.08,+.89320 ,+14.291 ,+19.924 ,+12.822 ,+16.993 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+37.2   ,+11.652 ,+1.8571 ,+371.42,+.89666 ,+14.347 ,+19.913 ,+12.829 ,+16.982 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+38.2   ,+11.504 ,+1.8571 ,+371.42,+.89597 ,+14.336 ,+19.924 ,+12.857 ,+16.993 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+39.2   ,+11.657 ,+1.8626 ,+372.52,+.89805 ,+14.369 ,+19.926 ,+12.842 ,+16.995 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+40.2   ,+11.616 ,+1.8522 ,+370.45,+.90429 ,+14.469 ,+19.936 ,+12.887 ,+17.005 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+41.2   ,+11.649 ,+1.8536 ,+370.72,+.90567 ,+14.491 ,+19.936 ,+12.852 ,+17.005 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+42.2   ,+11.443 ,+1.8526 ,+370.52,+.90983 ,+14.557 ,+19.936 ,+12.835 ,+17.005 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+43.2   ,+11.652 ,+1.8432 ,+368.64,+.90775 ,+14.524 ,+19.949 ,+12.848 ,+17.018 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+44.2   ,+11.416 ,+1.8495 ,+369.89,+.91260 ,+14.602 ,+19.949 ,+12.865 ,+17.018 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+45.2   ,+11.564 ,+1.8470 ,+369.41,+.91607 ,+14.657 ,+19.938 ,+12.855 ,+17.008 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+46.2   ,+11.523 ,+1.8404 ,+368.09,+.91572 ,+14.652 ,+19.951 ,+12.833 ,+17.020 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+47.2   ,+11.586 ,+1.8453 ,+369.06,+.91919 ,+14.707 ,+19.962 ,+12.826 ,+17.031 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+48.2   ,+11.526 ,+1.8470 ,+369.41,+.91884 ,+14.701 ,+19.951 ,+12.816 ,+17.020 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+49.2   ,+11.600 ,+1.8418 ,+368.37,+.91988 ,+14.718 ,+19.951 ,+12.815 ,+17.020 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+50.2   ,+11.578 ,+1.8436 ,+368.71,+.92230 ,+14.757 ,+19.964 ,+12.811 ,+17.033 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+51.2   ,+11.421 ,+1.8446 ,+368.92,+.92369 ,+14.779 ,+19.964 ,+12.794 ,+17.033 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+52.2   ,+11.429 ,+1.8297 ,+365.94,+.92022 ,+14.724 ,+19.964 ,+12.759 ,+17.033 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+53.2   ,+11.473 ,+1.8401 ,+368.02,+.92161 ,+14.746 ,+19.976 ,+12.772 ,+17.028 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+54.2   ,+11.438 ,+1.8446 ,+368.92,+.92577 ,+14.812 ,+19.987 ,+12.782 ,+17.022 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+55.2   ,+11.682 ,+1.8314 ,+366.29,+.92404 ,+14.785 ,+19.987 ,+12.731 ,+17.022 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+56.2   ,+11.471 ,+1.8356 ,+367.12,+.92230 ,+14.757 ,+19.976 ,+12.668 ,+16.994 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+57.2   ,+11.622 ,+1.8356 ,+367.12,+.92092 ,+14.735 ,+19.987 ,+12.644 ,+16.987 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+58.2   ,+11.619 ,+1.8349 ,+366.98,+.92196 ,+14.751 ,+19.976 ,+12.651 ,+16.977 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+59.2   ,+11.476 ,+1.8280 ,+365.60,+.92369 ,+14.779 ,+20.000 ,+12.674 ,+16.966 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1201.  ,+.2     ,+11.484 ,+1.8353 ,+367.05,+.92438 ,+14.790 ,+19.989 ,+12.646 ,+16.955 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1201.  ,+1.2    ,+11.616 ,+1.8259 ,+365.18,+.92161 ,+14.746 ,+20.000 ,+12.658 ,+16.949 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1201.  ,+2.2    ,+11.438 ,+1.8238 ,+364.76,+.92022 ,+14.724 ,+19.989 ,+12.629 ,+16.921 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1201.  ,+3.2    ,+11.493 ,+1.8335 ,+366.70,+.92161 ,+14.746 ,+20.002 ,+12.573 ,+16.899 
