"Plot Title: WILL_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547762, SEN S/N: 20547762, LBL: 10_cm)","Host Connected (LGR S/N: 20547762)","Coupler Attached (LGR S/N: 20547762)","Stopped (LGR S/N: 20547762)","End Of File (LGR S/N: 20547762)"
361,07/04/22 12:00:00  AM,2.730,,,,
362,07/04/22 12:30:00  AM,2.837,,,,
363,07/04/22 01:00:00  AM,3.155,,,,
364,07/04/22 01:30:00  AM,3.155,,,,
365,07/04/22 02:00:00  AM,3.683,,,,
366,07/04/22 02:30:00  AM,3.367,,,,
367,07/04/22 03:00:00  AM,3.788,,,,
368,07/04/22 03:30:00  AM,3.683,,,,
369,07/04/22 04:00:00  AM,3.683,,,,
370,07/04/22 04:30:00  AM,4.102,,,,
371,07/04/22 05:00:00  AM,4.415,,,,
372,07/04/22 05:30:00  AM,4.519,,,,
373,07/04/22 06:00:00  AM,4.623,,,,
374,07/04/22 06:30:00  AM,5.037,,,,
375,07/04/22 07:00:00  AM,5.655,,,,
376,07/04/22 07:30:00  AM,6.471,,,,
377,07/04/22 08:00:00  AM,7.381,,,,
378,07/04/22 08:30:00  AM,8.581,,,,
379,07/04/22 09:00:00  AM,9.571,,,,
380,07/04/22 09:30:00  AM,10.259,,,,
381,07/04/22 10:00:00  AM,9.965,,,,
382,07/04/22 10:30:00  AM,12.304,,,,
383,07/04/22 11:00:00  AM,11.819,,,,
384,07/04/22 11:30:00  AM,12.594,,,,
385,07/04/22 12:00:00  PM,12.980,,,,
386,07/04/22 12:30:00  PM,14.038,,,,
387,07/04/22 01:00:00  PM,13.846,,,,
388,07/04/22 01:30:00  PM,13.846,,,,
389,07/04/22 02:00:00  PM,14.421,,,,
390,07/04/22 02:30:00  PM,13.461,,,,
391,07/04/22 03:00:00  PM,13.750,,,,
392,07/04/22 03:30:00  PM,13.365,,,,
393,07/04/22 04:00:00  PM,12.594,,,,
394,07/04/22 04:30:00  PM,12.110,,,,
395,07/04/22 05:00:00  PM,11.625,,,,
396,07/04/22 05:30:00  PM,11.041,,,,
397,07/04/22 06:00:00  PM,11.139,,,,
398,07/04/22 06:30:00  PM,10.748,,,,
399,07/04/22 07:00:00  PM,10.063,,,,
400,07/04/22 07:30:00  PM,8.481,,,,
401,07/04/22 08:00:00  PM,5.860,,,,
402,07/04/22 08:30:00  PM,6.166,,,,
403,07/04/22 09:00:00  PM,7.179,,,,
404,07/04/22 09:30:00  PM,5.347,,,,
405,07/04/22 10:00:00  PM,6.166,,,,
406,07/04/22 10:30:00  PM,4.519,,,,
407,07/04/22 11:00:00  PM,5.347,,,,
408,07/04/22 11:30:00  PM,6.064,,,,
409,07/05/22 12:00:00  AM,5.655,,,,
410,07/05/22 12:30:00  AM,5.962,,,,
411,07/05/22 01:00:00  AM,5.347,,,,
412,07/05/22 01:30:00  AM,4.831,,,,
413,07/05/22 02:00:00  AM,6.166,,,,
414,07/05/22 02:30:00  AM,6.268,,,,
415,07/05/22 03:00:00  AM,7.582,,,,
416,07/05/22 03:30:00  AM,7.882,,,,
417,07/05/22 04:00:00  AM,8.282,,,,
418,07/05/22 04:30:00  AM,6.166,,,,
419,07/05/22 05:00:00  AM,6.775,,,,
420,07/05/22 05:30:00  AM,9.768,,,,
421,07/05/22 06:00:00  AM,10.944,,,,
422,07/05/22 06:30:00  AM,11.139,,,,
423,07/05/22 07:00:00  AM,11.722,,,,
424,07/05/22 07:30:00  AM,12.013,,,,
425,07/05/22 08:00:00  AM,15.282,,,,
426,07/05/22 08:30:00  AM,14.038,,,,
427,07/05/22 09:00:00  AM,14.038,,,,
428,07/05/22 09:30:00  AM,15.473,,,,
429,07/05/22 10:00:00  AM,17.094,,,,
430,07/05/22 10:30:00  AM,14.900,,,,
431,07/05/22 11:00:00  AM,14.996,,,,
432,07/05/22 11:30:00  AM,14.709,,,,
433,07/05/22 12:00:00  PM,13.846,,,,
434,07/05/22 12:30:00  PM,16.903,,,,
435,07/05/22 01:00:00  PM,16.141,,,,
436,07/05/22 01:30:00  PM,14.996,,,,
437,07/05/22 02:00:00  PM,17.855,,,,
438,07/05/22 02:30:00  PM,16.237,,,,
439,07/05/22 03:00:00  PM,16.237,,,,
440,07/05/22 03:30:00  PM,15.664,,,,
441,07/05/22 04:00:00  PM,10.748,,,,
442,07/05/22 04:30:00  PM,12.883,,,,
443,07/05/22 05:00:00  PM,11.236,,,,
444,07/05/22 05:30:00  PM,10.259,,,,
445,07/05/22 06:00:00  PM,11.528,,,,
446,07/05/22 06:30:00  PM,9.472,,,,
447,07/05/22 07:00:00  PM,8.282,,,,
448,07/05/22 07:30:00  PM,6.877,,,,
449,07/05/22 08:00:00  PM,7.381,,,,
450,07/05/22 08:30:00  PM,6.573,,,,
451,07/05/22 09:00:00  PM,6.471,,,,
452,07/05/22 09:30:00  PM,6.268,,,,
453,07/05/22 10:00:00  PM,5.450,,,,
454,07/05/22 10:30:00  PM,5.244,,,,
455,07/05/22 11:00:00  PM,6.573,,,,
456,07/05/22 11:30:00  PM,5.141,,,,
457,07/06/22 12:00:00  AM,5.860,,,,
458,07/06/22 12:30:00  AM,5.450,,,,
459,07/06/22 01:00:00  AM,5.962,,,,
460,07/06/22 01:30:00  AM,6.775,,,,
461,07/06/22 02:00:00  AM,7.079,,,,
462,07/06/22 02:30:00  AM,6.370,,,,
463,07/06/22 03:00:00  AM,6.978,,,,
464,07/06/22 03:30:00  AM,7.582,,,,
465,07/06/22 04:00:00  AM,6.877,,,,
466,07/06/22 04:30:00  AM,6.471,,,,
467,07/06/22 05:00:00  AM,6.775,,,,
468,07/06/22 05:30:00  AM,5.860,,,,
469,07/06/22 06:00:00  AM,4.727,,,,
470,07/06/22 06:30:00  AM,3.788,,,,
471,07/06/22 07:00:00  AM,3.683,,,,
472,07/06/22 07:30:00  AM,3.683,,,,
473,07/06/22 08:00:00  AM,4.311,,,,
474,07/06/22 08:30:00  AM,5.757,,,,
475,07/06/22 09:00:00  AM,5.141,,,,
476,07/06/22 09:30:00  AM,5.962,,,,
477,07/06/22 10:00:00  AM,6.877,,,,
478,07/06/22 10:30:00  AM,6.775,,,,
479,07/06/22 11:00:00  AM,7.179,,,,
480,07/06/22 11:30:00  AM,6.978,,,,
481,07/06/22 12:00:00  PM,7.280,,,,
482,07/06/22 12:30:00  PM,7.079,,,,
483,07/06/22 01:00:00  PM,6.573,,,,
484,07/06/22 01:30:00  PM,6.471,,,,
485,07/06/22 02:00:00  PM,6.775,,,,
486,07/06/22 02:30:00  PM,7.782,,,,
487,07/06/22 03:00:00  PM,8.382,,,,
488,07/06/22 03:30:00  PM,8.779,,,,
489,07/06/22 04:00:00  PM,7.983,,,,
490,07/06/22 04:30:00  PM,7.582,,,,
491,07/06/22 05:00:00  PM,7.782,,,,
492,07/06/22 05:30:00  PM,7.179,,,,
493,07/06/22 06:00:00  PM,7.481,,,,
494,07/06/22 06:30:00  PM,7.481,,,,
495,07/06/22 07:00:00  PM,7.882,,,,
496,07/06/22 07:30:00  PM,7.882,,,,
497,07/06/22 08:00:00  PM,6.877,,,,
498,07/06/22 08:30:00  PM,7.179,,,,
499,07/06/22 09:00:00  PM,6.166,,,,
500,07/06/22 09:30:00  PM,6.166,,,,
501,07/06/22 10:00:00  PM,5.347,,,,
502,07/06/22 10:30:00  PM,5.037,,,,
503,07/06/22 11:00:00  PM,5.244,,,,
504,07/06/22 11:30:00  PM,5.037,,,,
505,07/07/22 12:00:00  AM,5.244,,,,
506,07/07/22 12:30:00  AM,4.831,,,,
507,07/07/22 01:00:00  AM,4.831,,,,
508,07/07/22 01:30:00  AM,5.347,,,,
509,07/07/22 02:00:00  AM,5.244,,,,
510,07/07/22 02:30:00  AM,6.166,,,,
511,07/07/22 03:00:00  AM,7.582,,,,
512,07/07/22 03:30:00  AM,8.282,,,,
513,07/07/22 04:00:00  AM,7.882,,,,
514,07/07/22 04:30:00  AM,9.571,,,,
515,07/07/22 05:00:00  AM,8.282,,,,
516,07/07/22 05:30:00  AM,9.176,,,,
517,07/07/22 06:00:00  AM,10.161,,,,
518,07/07/22 06:30:00  AM,10.944,,,,
519,07/07/22 07:00:00  AM,11.528,,,,
520,07/07/22 07:30:00  AM,13.076,,,,
521,07/07/22 08:00:00  AM,13.942,,,,
522,07/07/22 08:30:00  AM,14.038,,,,
523,07/07/22 09:00:00  AM,14.038,,,,
